"","OTU002","OTU003","OTU005","OTU006","OTU007","OTU008","OTU019","OTU020","OTU025","OTU026","OTU027","OTU028","OTU042","OTU044","OTU046","OTU049","OTU053","OTU055","OTU056","OTU058","OTU059","OTU063","OTU066","OTU068","OTU071","OTU074","OTU075","OTU076","OTU079","OTU080","OTU083","OTU090","OTU091","OTU093","OTU100","OTU103","OTU104","OTU112","OTU116","OTU118","OTU120","OTU122","OTU134"
"E02_T005_S002",0.000131441474840754,0,0,0,2.69623538134879e-05,0,1.3481176906744e-05,0,0,3.37029422668599e-06,0,0,0,0,0,0,2.35920595868019e-05,0,2.02217653601159e-05,0,0,6.74058845337198e-05,1.0110882680058e-05,0,0,1.0110882680058e-05,0,0,3.37029422668599e-06,1.0110882680058e-05,0,0,0,0,3.37029422668599e-06,0,0,0,0,0,0,1.0110882680058e-05,0
"E02_T005_S003",9.43682383472077e-05,0,0,0,5.39247076269758e-05,0,3.37029422668599e-06,0,3.37029422668599e-06,0,0,3.37029422668599e-06,0,0,0,0,6.74058845337198e-06,0,1.3481176906744e-05,0,0,3.37029422668599e-05,3.37029422668599e-06,0,0,6.74058845337198e-06,0,0,0,6.74058845337198e-06,0,3.37029422668599e-06,0,0,6.74058845337198e-06,0,0,0,0,0,0,3.37029422668599e-06,0
"E02_T005_S004",0.000330288834215227,0,0,0,0.000128071180614068,0,1.0110882680058e-05,0,1.0110882680058e-05,1.3481176906744e-05,0,3.37029422668599e-06,0,0,0,0,4.04435307202319e-05,0,0.000114590003707324,0,0,0.000131441474840754,2.69623538134879e-05,0,0,1.0110882680058e-05,0,0,2.35920595868019e-05,5.72950018536618e-05,0,3.03326480401739e-05,0,0,1.68514711334299e-05,0,0,0,0,0,0,6.40355903070338e-05,0
"E02_T005_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T005_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T005_S007",0.000377472953388831,0,0,0,0.00015166324020087,0,6.74058845337198e-06,0,6.74058845337198e-06,1.3481176906744e-05,0,1.3481176906744e-05,0,0,0,0,2.69623538134879e-05,0,0.000158403828654242,0,0,0.00011796029793401,3.37029422668599e-05,0,0,4.71841191736039e-05,0,0,2.35920595868019e-05,2.69623538134879e-05,0,3.03326480401739e-05,0,0,6.74058845337198e-06,0,0,0,0,0,0,7.75167672137778e-05,0
"E02_T005_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T005_S009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T006_S001",0.44315125181047,0,0.00120985355311861,0,0.14922580867646,0,0.00929374439616525,0,0.016929328459434,0,0,0.00310366232153942,0,0,0,0,0,0.00353472653286434,0.042364990689013,0,0.00894601926569649,0.0719733544842173,0.0510609927121411,0,0,0.0907993654734809,0.0397786054210635,0,0,0.0174638480814769,0,0,0,0,0,0.0116099960916845,0,0,0,0,0,0.0395544520311746,0
"E02_T006_S002",8.90866036738166e-05,0,0,0,3.16113754971607e-05,0,0,0,8.62128422649838e-06,0,0,2.87376140883279e-06,0,0,0,0,0,0,1.14950456353312e-05,0,0,1.72425684529968e-05,2.29900912706623e-05,0,0,2.29900912706623e-05,5.74752281766559e-06,0,0,1.14950456353312e-05,0,0,0,0,0,0,0,0,0,0,0,1.14950456353312e-05,0
"E02_T006_S003",0.000163804400303469,0,0,0,5.74752281766559e-05,0,0,0,1.14950456353312e-05,0,0,0,0,0,0,0,0,0,1.14950456353312e-05,0,0,3.44851369059935e-05,2.29900912706623e-05,0,0,3.73588983148263e-05,2.29900912706623e-05,0,0,5.74752281766559e-06,0,0,0,0,0,0,0,0,0,0,0,8.62128422649838e-06,0
"E02_T006_S004",0.000448306779777916,0,5.74752281766559e-06,0,0.000109202933535646,0,1.4368807044164e-05,0,2.29900912706623e-05,0,0,5.74752281766559e-06,0,0,0,0,0,2.87376140883279e-06,4.59801825413247e-05,0,1.4368807044164e-05,7.47177966296526e-05,4.59801825413247e-05,0,0,8.62128422649838e-05,2.87376140883279e-05,0,0,5.74752281766559e-06,0,0,0,0,0,2.87376140883279e-06,0,0,0,0,0,5.17277053589903e-05,0
"E02_T006_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T006_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T006_S007",0.000571878520357726,0,2.87376140883279e-06,0,0.000163804400303469,0,2.29900912706623e-05,0,2.01163298618296e-05,0,0,2.87376140883279e-06,0,0,0,0,0,0,6.32227509943214e-05,0,1.14950456353312e-05,7.75915580384854e-05,8.90866036738166e-05,0,0,0.000100581649309148,4.31064211324919e-05,0,0,5.74752281766559e-06,0,0,0,0,0,1.72425684529968e-05,0,0,0,0,0,4.59801825413247e-05,0
"E02_T006_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T006_S009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T007_S001",0.617604896273573,0,0.00136667830323918,0,0.149784970995224,0.0176405487510491,0,0,0,0,0,0.00389948972391613,0,0,0,0,0,0,0.0317455601524143,0,0,0.0305571442365542,0.00642487354511895,0,0,0.0581581038824062,0,0.00776184145046163,0,0,0,0,0,0,0,0,0,0,0,7.42759947412596e-06,0.0522383071015279,0.0228101579850408,0
"E02_T007_S002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
