"","OTU002","OTU003","OTU005","OTU006","OTU007","OTU008","OTU019","OTU020","OTU025","OTU026","OTU027","OTU028","OTU042","OTU044","OTU046","OTU049","OTU053","OTU055","OTU056","OTU058","OTU059","OTU063","OTU066","OTU068","OTU071","OTU074","OTU075","OTU076","OTU079","OTU080","OTU083","OTU090","OTU091","OTU093","OTU100","OTU103","OTU104","OTU112","OTU116","OTU118","OTU120","OTU122","OTU134"
"E02_T003_S003",8.73682922993587e-06,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,Inf,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0.000118906064209275,0
"E02_T003_S004",0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
"E02_T003_S005",0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
"E02_T003_S006",0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
"E02_T003_S007",1.74736584598717e-05,NA,0,NA,3.07252699983101e-05,NA,NA,NA,0,NA,NA,0,NA,NA,NA,Inf,0,NA,0,NA,NA,0,6.7911714770798e-05,NA,0,0.000201328769881216,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
"E02_T003_S008",0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
"E02_T003_S009",0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,Inf,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
"E02_T004_S001",1,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"E02_T004_S002",0.000331874468482297,NA,0,NA,0.00019592988322579,NA,NA,0.000289017341040462,0.000148720999405116,NA,NA,0,NA,NA,NA,NA,0.000563168762905951,NA,0.000264165896182803,NA,NA,0.0001669727834363,0,NA,NA,0.000375014649009727,NA,NA,NA,0.000396510705789056,NA,0.000281083106905275,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000629722921914358,0.000322130355417159
"E02_T004_S003",0.000238534774221651,NA,0,NA,0.000261239844301053,NA,NA,0,0.000148720999405116,NA,NA,0.000324569944823109,NA,NA,NA,NA,0.00018772292096865,NA,0.000198124422137102,NA,NA,0.0005009183503089,0,NA,NA,0.000257822571194187,NA,NA,NA,0.000793021411578113,NA,0.000655860582778975,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000157430730478589,0.000644260710834318
