"","OTU002","OTU004","OTU005","OTU006","OTU007","OTU008","OTU018","OTU020","OTU022","OTU023","OTU025","OTU028","OTU029","OTU033","OTU034","OTU036","OTU042","OTU044","OTU053","OTU054","OTU055","OTU056","OTU059","OTU061","OTU063","OTU064","OTU066","OTU068","OTU069","OTU071","OTU074","OTU075","OTU076","OTU078","OTU079","OTU080","OTU083","OTU084","OTU085","OTU086","OTU088","OTU089","OTU090","OTU091","OTU092","OTU093","OTU094","OTU095","OTU096","OTU097","OTU098","OTU101","OTU102","OTU103","OTU104","OTU108","OTU112","OTU115","OTU116","OTU118","OTU119","OTU122","OTU126","OTU129","OTU134","OTU135","OTU136","OTU019","OTU021","OTU032","OTU043","OTU077","OTU107","OTU109","OTU003","OTU030","OTU037","OTU046","OTU047","OTU049","OTU058","OTU065","OTU113","OTU117"
"E01_T003_S007",149,0,1,0,0,745,2,0,0,0,293,135,0,0,0,0,68,0,0,0,0,264,0,268,1,0,583,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,753,1038,0,821,0,801,486,1,598,201,0,0,0,0,0,0,0,0,0,391,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S008",569,0,17,0,0,0,0,0,0,0,482,637,2,0,0,0,82,0,0,0,0,0,0,146,0,0,1,0,0,0,331,0,0,0,0,0,0,0,0,0,619,0,0,2,1208,281,754,0,1651,1052,2,0,0,0,313,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S009",0,1,0,0,0,0,0,0,0,0,335,464,0,1,0,1154,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,1451,0,0,0,0,2711,9,0,0,0,0,0,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S010",1459,0,27,0,532,646,31,0,0,0,0,252,0,0,0,0,0,0,0,0,34,0,0,265,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610,0,1437,681,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S011",0,0,0,0,217,0,22,0,0,0,213,0,0,0,0,0,247,36,0,297,0,0,0,373,0,0,422,0,0,0,0,0,347,0,0,0,0,0,0,0,0,402,0,573,1310,0,91,0,1983,1300,3,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S013",386,6529,2,0,0,0,0,0,0,0,0,0,0,1394,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,156,0,463,1048,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S014",0,5732,0,0,0,0,0,0,178,0,0,0,0,2347,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S015",474,6479,2,0,0,0,0,0,0,0,0,0,0,1069,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,537,808,73,0,0,0,0,0,0,0,0,0,0
"E01_T001_S016",598,6984,2,0,0,0,0,0,0,0,0,0,0,1152,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,726,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S017",0,8012,0,0,0,0,0,0,0,0,0,0,0,675,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1459,0,0,0,0,0,0,0,0,0,0,0,0
