"","OTU002","OTU003","OTU005","OTU006","OTU007","OTU008","OTU019","OTU020","OTU025","OTU026","OTU027","OTU028","OTU042","OTU044","OTU046","OTU049","OTU053","OTU055","OTU056","OTU058","OTU059","OTU063","OTU066","OTU068","OTU071","OTU074","OTU075","OTU076","OTU079","OTU080","OTU083","OTU090","OTU091","OTU093","OTU100","OTU103","OTU104","OTU112","OTU116","OTU118","OTU120","OTU122","OTU134"
"E02_T002_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T002_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T002_S007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T002_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T002_S009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S001",114458,0,311,0,65093,0,0,0,1,0,0,1505,0,0,0,0,41,0,14830,0,0,39049,14725,0,5476,4967,0,0,0,7139,0,0,0,0,0,0,0,1737,0,113,0,8410,3416
"E02_T003_S002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"E02_T003_S004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S007",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T004_S001",96422,0,232,0,76558,0,0,3460,6724,0,0,3081,0,0,0,0,5327,0,45426,0,0,17967,3883,0,0,42665,0,0,0,2522,0,10673,0,0,0,0,0,0,0,0,0,6352,9313
"E02_T004_S002",32,0,0,0,15,0,0,1,1,0,0,0,0,0,0,0,3,0,12,0,0,3,0,0,0,16,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4,3
"E02_T004_S003",23,0,0,0,20,0,0,0,1,0,0,1,0,0,0,0,1,0,9,0,0,9,0,0,0,11,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,1,6
"E02_T004_S004",87,0,1,0,64,0,0,6,9,0,0,2,0,0,0,0,2,0,43,0,0,18,5,0,0,47,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,4,8
"E02_T004_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T004_S006",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T004_S007",92,0,0,0,48,0,0,1,8,0,0,4,0,0,0,0,10,0,38,0,0,17,4,0,0,37,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,8,10
"E02_T004_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T004_S009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T005_S001",105435,0,242,0,43715,0,2861,0,1452,2734,0,1608,0,0,0,0,9196,0,26764,0,0,41143,6471,0,0,8876,0,0,5512,10798,0,6810,14,0,4275,0,0,0,0,56,0,18748,0
"E02_T005_S002",39,0,0,0,8,0,4,0,0,1,0,0,0,0,0,0,7,0,6,0,0,20,3,0,0,3,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,3,0
"E02_T005_S003",28,0,0,0,16,0,1,0,1,0,0,1,0,0,0,0,2,0,4,0,0,10,1,0,0,2,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,1,0
"E02_T005_S004",98,0,0,0,38,0,3,0,3,4,0,1,0,0,0,0,12,0,34,0,0,39,8,0,0,3,0,0,7,17,0,9,0,0,5,0,0,0,0,0,0,19,0
"E02_T005_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T005_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T005_S007",112,0,0,0,45,0,2,0,2,4,0,4,0,0,0,0,8,0,47,0,0,35,10,0,0,14,0,0,7,8,0,9,0,0,2,0,0,0,0,0,0,23,0
"E02_T005_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T005_S009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
