"","OTU002","OTU004","OTU005","OTU006","OTU007","OTU008","OTU018","OTU020","OTU022","OTU023","OTU025","OTU028","OTU033","OTU034","OTU036","OTU042","OTU044","OTU053","OTU054","OTU055","OTU056","OTU059","OTU061","OTU063","OTU064","OTU066","OTU068","OTU069","OTU071","OTU074","OTU075","OTU076","OTU078","OTU079","OTU080","OTU083","OTU084","OTU085","OTU086","OTU088","OTU089","OTU090","OTU091","OTU092","OTU093","OTU094","OTU095","OTU096","OTU097","OTU098","OTU101","OTU102","OTU103","OTU104","OTU108","OTU112","OTU115","OTU116","OTU118","OTU119","OTU122","OTU126","OTU129","OTU130","OTU134","OTU135","OTU136","OTU026","OTU027","OTU120","OTU035","OTU038","OTU041","OTU057","OTU060","OTU062","OTU067","OTU070","OTU072","OTU073","OTU081","OTU082","OTU087","OTU105","OTU106","OTU110","OTU111","OTU121","OTU124","OTU125","OTU127","OTU128"
"E01_T003_S001",3766,0,84,0,1877,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,681,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,194,0,336,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S002",2500,0,45,0,1535,0,0,58,0,0,0,96,0,0,0,86,0,0,0,0,1168,0,0,1377,0,387,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S003",3204,0,53,0,1859,0,0,0,0,0,0,15,0,0,0,133,0,0,0,167,373,0,0,825,0,154,0,0,15,362,0,0,147,0,0,0,0,0,0,1,0,0,1,0,274,1,0,2,2,0,0,1,127,0,0,4,0,0,93,0,114,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S004",2733,102,50,0,1757,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,562,120,0,941,0,131,0,0,0,334,201,0,0,0,81,0,0,105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,536,104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S005",2483,0,191,0,2320,0,0,0,0,0,0,191,0,0,0,16,60,0,0,0,194,0,0,705,0,239,0,0,201,200,0,0,0,213,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,2,0,566,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S007",748,0,8,0,969,361,0,0,0,0,401,148,0,0,0,0,243,0,0,0,4,0,0,335,0,451,0,0,0,645,0,0,0,0,0,0,377,0,0,0,0,0,315,202,0,1645,0,333,0,0,417,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S008",0,0,0,0,0,380,0,0,0,0,775,0,0,0,0,0,1,0,0,0,1,0,0,404,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1577,0,1520,0,2,1037,0,0,0,0,523,0,0,0,0,0,1010,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S009",869,0,5,0,0,0,0,0,0,0,920,846,0,0,0,0,0,0,0,896,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,910,411,487,0,761,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S010",0,0,0,0,0,0,0,0,0,0,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,1036,0,0,0,0,0,0,0,0,0,1665,0,1227,0,202,0,0,0,0,0,0,0,0,0,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S011",346,0,3,0,173,0,0,0,0,0,1073,65,0,0,0,326,0,0,0,0,186,0,390,354,0,44,0,0,0,426,0,0,0,0,0,0,282,0,0,316,0,0,0,1001,0,927,0,1121,522,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
