"","OTU002","OTU003","OTU004","OTU005","OTU006","OTU007","OTU008","OTU018","OTU019","OTU020","OTU021","OTU022","OTU023","OTU025","OTU028","OTU029","OTU030","OTU032","OTU033","OTU034","OTU036","OTU037","OTU042","OTU043","OTU044","OTU046","OTU047","OTU049","OTU053","OTU054","OTU055","OTU056","OTU058","OTU059","OTU061","OTU063","OTU064","OTU065","OTU066","OTU067","OTU068","OTU069","OTU071","OTU074","OTU075","OTU076","OTU077","OTU078","OTU079","OTU080","OTU083","OTU084","OTU085","OTU086","OTU088","OTU089","OTU090","OTU091","OTU092","OTU093","OTU094","OTU095","OTU096","OTU097","OTU098","OTU099","OTU100","OTU101","OTU102","OTU103","OTU104","OTU107","OTU108","OTU109","OTU112","OTU113","OTU115","OTU116","OTU117","OTU118","OTU119","OTU122","OTU123","OTU126","OTU129","OTU130","OTU134","OTU135","OTU136"
"E01_T002_S001",27222,0,0,204,0,10321,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,0,0,7864,0,1254,0,3622,0,0,1439,0,0,0,0,4641,0,0,0,306,527,0,0,0,0,0,0,0,0,3732,0,998,0,0,0,0,0,977,0,0,0,2397,0,0,0,0,0,0,0,0,0,773,0,6185,8,0,0,0,0,0,0
"E01_T002_S002",8023,0,0,65,247,3831,0,0,0,0,0,0,0,0,878,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,1831,0,0,1,814,0,0,735,0,0,0,0,1380,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,463,0,0,0,0,0,0,256,276,0,29,0,2341,4,0,0,0,78,0,0
"E01_T002_S003",35116,0,0,1012,0,11831,0,0,0,0,0,0,0,0,1841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,5957,2,0,4223,0,0,0,0,4871,950,0,0,0,0,2063,0,2,0,0,0,0,0,1,0,1499,1,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,5,6054,7,1159,0,0,0,0,0
"E01_T002_S004",31920,1,0,278,0,15397,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,882,98,0,1,0,0,1004,0,1200,4704,0,1,0,9467,0,0,1840,0,0,3,0,7087,2,0,0,0,0,998,0,0,0,0,0,0,0,3865,0,0,1,0,0,1,0,0,756,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,2428,2,0,0,0,562,0,0
"E01_T002_S005",12688,0,3,89,0,8494,0,0,0,0,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,873,0,0,0,0,0,0,1527,0,268,0,1015,0,0,643,0,0,875,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4870,3,0,0,0,0,0,0
"E01_T002_S006",1,0,3,0,0,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S007",0,0,4,0,0,307,475,0,0,0,0,0,0,809,1493,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,775,0,0,0,1,0,0,0,837,0,0,0,0,2187,0,0,0,0,0,0,0,0,0,405,0,0,385,0,2474,0,942,406,2,1711,2,0,0,0,0,0,362,1,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S008",2619,0,23,21,0,0,0,0,0,0,0,0,0,1326,2225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1377,0,0,0,2565,0,0,0,0,0,0,0,0,4233,0,0,1,0,0,0,0,0,0,0,0,0,2634,0,2627,0,10476,0,5018,9590,17,0,0,0,0,0,2725,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S009",1907,0,2,22,0,0,0,0,0,0,0,0,0,573,2181,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,2154,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1597,1923,917,0,0,1038,566,1,0,0,0,0,0,950,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S010",1588,0,0,14,0,8,0,0,0,0,0,0,0,3985,0,0,1,0,0,0,0,0,1886,0,0,0,0,1,0,0,0,1425,0,0,3177,2155,0,0,0,0,0,0,0,1,0,1860,0,0,0,0,0,0,0,0,1566,0,634,3,2454,1,3079,0,1632,2946,5,0,0,0,0,0,1398,0,0,0,0,0,0,0,0,0,841,3,0,0,0,0,0,0,0
