"query","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","infraclass","cohort","subcohort","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","subgenus","species","subspecies"
"OTU00119","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","","","","","Sillaginidae","","","Sillago","","",""
"OTU00120","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Scombriformes","","","","Scombridae","Scombrinae","Scombrini","Scomber","","",""
"OTU00121","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Gobiiformes","Gobioidei","","","Gobiidae","Gobionellinae","","Tridentiger","","",""
"OTU00122","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Gobiiformes","Gobioidei","","","Gobiidae","Gobionellinae","","Tridentiger","","Tridentiger trigonocephalus",""
"OTU00123","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Gobiiformes","Gobioidei","","","Gobiidae","Gobionellinae","","Tridentiger","","Tridentiger trigonocephalus",""
"OTU00124","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Spariformes","","","","Sparidae","","","Acanthopagrus","","",""
"OTU00125","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Spariformes","","","","Sparidae","","","Acanthopagrus","","",""
"OTU00126","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Spariformes","","","","Sparidae","","","","","",""
"OTU00127","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Spariformes","","","","Sparidae","","","","","",""
"OTU00128","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Tetraodontiformes","","","Balistoidea","Monacanthidae","","","Stephanolepis","","",""
"OTU00129","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Gobiiformes","Gobioidei","","","Gobiidae","","","","","",""
"OTU00130","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Blenniiformes","Blennioidei","","","Blenniidae","Salariinae","","Parablennius","","Parablennius yatabei",""
"OTU00131","","","","","","","","","","","","","","","","","","","","","",""
"OTU00132","","","","","","","","","","","","","","","","","","","","","",""
"OTU00133","","","","","","","","","","","","","","","","","","","","","",""
"OTU00134","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","Cypriniformes","Cyprinoidei","","","Acheilognathidae","","","","","",""
"OTU00135","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Perciformes","Serranoidei","","","Serranidae","Epinephelinae","Epinephelini","Epinephelus","","",""
"OTU00136","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Perciformes","Serranoidei","","","Serranidae","Epinephelinae","Epinephelini","Epinephelus","","",""
"OTU00137","","","","","","","","","","","","","","","","","","","","","",""
