"","OTU002","OTU005","OTU006","OTU007","OTU008","OTU018","OTU020","OTU023","OTU025","OTU026","OTU027","OTU028","OTU035","OTU036","OTU038","OTU041","OTU042","OTU044","OTU053","OTU055","OTU056","OTU057","OTU059","OTU060","OTU061","OTU062","OTU063","OTU066","OTU067","OTU068","OTU069","OTU070","OTU071","OTU072","OTU073","OTU074","OTU075","OTU076","OTU078","OTU079","OTU080","OTU081","OTU082","OTU083","OTU087","OTU090","OTU091","OTU092","OTU093","OTU094","OTU103","OTU104","OTU105","OTU106","OTU108","OTU110","OTU111","OTU112","OTU115","OTU116","OTU118","OTU119","OTU120","OTU121","OTU122","OTU124","OTU125","OTU126","OTU127","OTU128","OTU129","OTU134","OTU135","OTU003","OTU030","OTU037","OTU046","OTU047","OTU049","OTU058","OTU065","OTU113","OTU117"
"E03_T006_S005",6059,21,0,3729,0,0,199,0,370,0,0,0,0,0,3,1,266,88,0,0,740,0,0,0,0,196,1945,348,0,0,0,0,441,0,0,0,0,0,419,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T007_S001",6512,167,0,3054,0,0,0,0,146,0,0,319,0,0,1,0,54,174,0,130,613,0,0,0,138,64,728,765,0,132,0,0,0,0,0,288,0,0,0,0,364,0,0,57,0,0,134,0,74,0,0,0,0,0,0,0,0,0,0,0,4,0,127,0,1115,3,3,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0
"E03_T007_S002",7241,38,0,2291,150,0,0,0,274,0,0,4,0,0,2,0,39,34,290,143,973,0,0,0,0,88,840,760,0,0,0,0,0,0,0,434,225,0,0,0,446,0,0,0,0,72,0,0,0,0,0,0,41,0,0,0,0,19,158,0,20,0,153,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T007_S003",6086,23,0,2219,0,0,0,0,0,0,0,194,0,148,6,10,227,104,46,45,1163,116,216,0,37,267,885,801,0,0,0,0,0,0,0,596,115,0,64,0,188,0,0,123,101,81,0,0,0,0,184,0,0,0,0,0,0,0,0,0,91,0,0,0,1123,12,2,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0
"E03_T007_S004",5226,27,0,2475,0,0,191,0,0,0,5,213,55,85,3,1,28,226,148,38,1414,0,0,0,0,177,1134,626,0,0,0,0,0,162,0,521,250,0,167,0,223,0,0,165,0,0,136,0,240,0,230,0,0,177,0,0,0,0,0,0,0,0,208,0,752,5,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
"E03_T007_S005",7031,38,0,3341,0,0,0,184,237,0,0,351,0,0,4,0,0,0,169,127,432,0,137,0,0,39,1273,241,0,0,0,0,0,0,0,373,58,0,0,0,35,0,0,0,0,0,0,23,30,0,0,78,0,0,0,134,0,47,0,0,0,0,0,0,801,1,1,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0
"E03_T008_S001",6002,14,0,3163,0,0,82,0,0,76,0,73,0,0,2,0,35,42,0,0,1715,0,0,84,0,292,1104,76,43,0,0,0,170,0,0,806,0,0,0,0,82,0,0,0,0,80,0,0,155,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,362,1,2,0,175,0,0,62,0,0,0,0,0,0,0,0,0,0,0
"E03_T008_S002",6689,22,0,3037,145,0,0,0,131,0,0,214,0,0,6,0,99,14,265,5,800,0,0,0,0,168,1474,562,84,0,0,116,258,0,0,834,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T008_S003",7040,16,0,2357,0,0,49,0,0,0,0,316,0,0,4,0,20,15,0,0,1470,0,0,0,32,254,1635,325,0,0,0,0,0,0,0,594,162,0,44,0,0,0,44,129,0,49,0,0,54,0,0,60,0,41,0,0,0,0,0,0,0,0,0,0,677,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T008_S004",8144,19,91,2557,0,0,0,0,103,0,0,14,0,0,13,2,92,29,83,0,1225,56,0,0,39,130,473,58,0,0,0,0,0,0,0,916,140,0,0,0,53,0,0,0,0,0,75,0,0,0,0,106,0,0,0,0,0,0,0,45,0,0,0,0,694,17,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0
