temp,value,site,replicate
60.85661417,0.037517587,River_Seta,R03
61.14826772,0.100099599,River_Seta,R03
61.43992126,0.144386685,River_Seta,R03
61.7315748,0.171438525,River_Seta,R03
62.02322835,0.1827176,River_Seta,R03
62.31488189,0.184668922,River_Seta,R03
62.60653543,0.186792496,River_Seta,R03
62.89818898,0.190821197,River_Seta,R03
63.18984252,0.19266064,River_Seta,R03
63.48149606,0.191874619,River_Seta,R03
63.77314961,0.192432614,River_Seta,R03
64.06480315,0.196943169,River_Seta,R03
64.35645669,0.208091481,River_Seta,R03
64.64811024,0.225844981,River_Seta,R03
64.93976378,0.247277984,River_Seta,R03
65.23141732,0.270239287,River_Seta,R03
65.52307087,0.293843133,River_Seta,R03
65.81472441,0.318456147,River_Seta,R03
66.10637795,0.345203943,River_Seta,R03
66.3980315,0.373905307,River_Seta,R03
66.68968504,0.403884185,River_Seta,R03
66.98133858,0.436854849,River_Seta,R03
67.27299213,0.475119557,River_Seta,R03
67.56464567,0.519065459,River_Seta,R03
67.85629921,0.567201058,River_Seta,R03
68.14795276,0.614954443,River_Seta,R03
68.4396063,0.654637108,River_Seta,R03
68.73125984,0.683372888,River_Seta,R03
69.02291339,0.705874464,River_Seta,R03
69.31456693,0.725912884,River_Seta,R03
69.60622047,0.740907992,River_Seta,R03
69.89787402,0.750016854,River_Seta,R03
70.18952756,0.757012793,River_Seta,R03
70.4811811,0.760648535,River_Seta,R03
70.77283465,0.75831734,River_Seta,R03
71.06448819,0.754350943,River_Seta,R03
71.35614173,0.752190202,River_Seta,R03
71.64779528,0.75083509,River_Seta,R03
71.93944882,0.749328029,River_Seta,R03
72.23110236,0.748571871,River_Seta,R03
72.52275591,0.750366347,River_Seta,R03
72.81440945,0.752123112,River_Seta,R03
73.10606299,0.74823347,River_Seta,R03
73.39771654,0.738818468,River_Seta,R03
73.68937008,0.730639017,River_Seta,R03
73.98102362,0.726991383,River_Seta,R03
74.27267717,0.727384299,River_Seta,R03
74.56433071,0.72909857,River_Seta,R03
74.85598425,0.727602719,River_Seta,R03
75.1476378,0.724365679,River_Seta,R03
75.43929134,0.721852234,River_Seta,R03
75.73094488,0.719596923,River_Seta,R03
76.02259843,0.720790988,River_Seta,R03
76.31425197,0.726422644,River_Seta,R03
76.60590551,0.731739847,River_Seta,R03
76.89755906,0.733566245,River_Seta,R03
77.1892126,0.732975835,River_Seta,R03
77.48086614,0.736736219,River_Seta,R03
77.77251969,0.748309946,River_Seta,R03
78.06417323,0.764167905,River_Seta,R03
78.35582677,0.787148118,River_Seta,R03
78.64748031,0.825325128,River_Seta,R03
78.93913386,0.884827799,River_Seta,R03
79.2307874,0.972957698,River_Seta,R03
79.52244094,1.096567799,River_Seta,R03
79.81409449,1.254189213,River_Seta,R03
80.10574803,1.438484499,River_Seta,R03
80.39740157,1.643783845,River_Seta,R03
80.68905512,1.859184564,River_Seta,R03
80.98070866,2.077090253,River_Seta,R03
81.2723622,2.306096912,River_Seta,R03
81.56401575,2.556661417,River_Seta,R03
81.85566929,2.831439764,River_Seta,R03
82.14732283,3.125899319,River_Seta,R03
82.43897638,3.409603854,River_Seta,R03
82.73062992,3.608470211,River_Seta,R03
83.02228346,3.62194198,River_Seta,R03
83.31393701,3.360915161,River_Seta,R03
83.60559055,2.820085733,River_Seta,R03
83.89724409,2.124077868,River_Seta,R03
84.18889764,1.438632063,River_Seta,R03
84.48055118,0.866142473,River_Seta,R03
84.77220472,0.442927955,River_Seta,R03
85.06385827,0.169424624,River_Seta,R03
85.35551181,0.023545761,River_Seta,R03
85.64716535,-0.032741874,River_Seta,R03
85.9388189,-0.038964294,River_Seta,R03
86.23047244,-0.024304814,River_Seta,R03
86.52212598,-0.004808195,River_Seta,R03
86.81377953,0.01259978,River_Seta,R03
87.10543307,0.02497404,River_Seta,R03
87.39708661,0.031554909,River_Seta,R03
87.68874016,0.032826986,River_Seta,R03
87.9803937,0.029952918,River_Seta,R03
88.27204724,0.026254392,River_Seta,R03
88.56370079,0.025361864,River_Seta,R03
88.85535433,0.026995311,River_Seta,R03
89.14700787,0.028041297,River_Seta,R03
89.43866142,0.027237783,River_Seta,R03
89.73031496,0.02567071,River_Seta,R03
90.0219685,0.024233775,River_Seta,R03
90.31362205,0.024213334,River_Seta,R03
90.60527559,0.025772086,River_Seta,R03
90.89692913,0.02664277,River_Seta,R03
91.18858268,0.025270033,River_Seta,R03
91.48023622,0.022527194,River_Seta,R03
91.77188976,0.020354833,River_Seta,R03
92.06354331,0.020280349,River_Seta,R03
92.35519685,0.021748755,River_Seta,R03
92.64685039,0.022217952,River_Seta,R03
92.93850394,0.020243025,River_Seta,R03
93.23015748,0.017011825,River_Seta,R03
93.52181102,0.01430528,River_Seta,R03
93.81346457,0.012698568,River_Seta,R03
94.10511811,0.012243808,River_Seta,R03
94.39677165,0.012293367,River_Seta,R03
94.6884252,0.012164925,River_Seta,R03
94.98007874,0.012234264,River_Seta,R03
95.27173228,0.012994479,River_Seta,R03
95.56338583,0.014664763,River_Seta,R03
95.85503937,0.016767265,River_Seta,R03
96.14669291,0.018022081,River_Seta,R03
96.43834646,0.017898473,River_Seta,R03
96.73,0.017898473,River_Seta,R03
59.69,0.007225669,Sea_Nagahama,R01
59.98165354,0.007225669,Sea_Nagahama,R01
60.27330709,0.018334973,Sea_Nagahama,R01
60.56496063,0.065253384,Sea_Nagahama,R01
60.85661417,0.130326351,Sea_Nagahama,R01
61.14826772,0.189333157,Sea_Nagahama,R01
61.43992126,0.228041732,Sea_Nagahama,R01
61.7315748,0.247050384,Sea_Nagahama,R01
62.02322835,0.248787682,Sea_Nagahama,R01
62.31488189,0.236833831,Sea_Nagahama,R01
62.60653543,0.220484486,Sea_Nagahama,R01
62.89818898,0.207259583,Sea_Nagahama,R01
63.18984252,0.197086244,Sea_Nagahama,R01
63.48149606,0.186076243,Sea_Nagahama,R01
63.77314961,0.173450399,Sea_Nagahama,R01
64.06480315,0.16150535,Sea_Nagahama,R01
64.35645669,0.150066433,Sea_Nagahama,R01
64.64811024,0.135845567,Sea_Nagahama,R01
64.93976378,0.119716228,Sea_Nagahama,R01
65.23141732,0.106977264,Sea_Nagahama,R01
65.52307087,0.102151897,Sea_Nagahama,R01
65.81472441,0.10869568,Sea_Nagahama,R01
66.10637795,0.12488184,Sea_Nagahama,R01
66.3980315,0.142712801,Sea_Nagahama,R01
66.68968504,0.157573958,Sea_Nagahama,R01
66.98133858,0.172137199,Sea_Nagahama,R01
67.27299213,0.191693702,Sea_Nagahama,R01
67.56464567,0.218342321,Sea_Nagahama,R01
67.85629921,0.248730496,Sea_Nagahama,R01
68.14795276,0.282126104,Sea_Nagahama,R01
68.4396063,0.319503364,Sea_Nagahama,R01
68.73125984,0.357754377,Sea_Nagahama,R01
69.02291339,0.394962533,Sea_Nagahama,R01
69.31456693,0.434067211,Sea_Nagahama,R01
69.60622047,0.47759017,Sea_Nagahama,R01
69.89787402,0.524655681,Sea_Nagahama,R01
